PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,v24,stat,sys
0.25,0.2,0.3,0.03272,0.00022,0.0012
0.35,0.3,0.4,0.0462,0.00023,0.00071
0.45,0.4,0.5,0.05968,0.00026,0.0007
0.55,0.5,0.6,0.07213,0.00029,0.00103
0.65,0.6,0.7,0.08384,0.00032,0.00103
0.75,0.7,0.8,0.09484,0.00036,0.00118
0.85,0.8,0.9,0.10499,0.0004,0.00113
0.95,0.9,1,0.11528,0.00044,0.00119
1.125,1,1.25,0.1292,0.00039,0.00103
1.375,1.25,1.5,0.14799,0.00047,0.00115
1.625,1.5,1.75,0.16478,0.00057,0.00093
1.875,1.75,2,0.17857,0.0007,0.00103
2.125,2,2.25,0.18949,0.00089,0.00116
2.375,2.25,2.5,0.19777,0.00115,0.00103
2.75,2.5,3,0.20284,0.00114,0.00103
3.25,3,3.5,0.19928,0.00165,0.00103
3.75,3.5,4,0.19261,0.00222,0.00103
4.5,4,5,0.16866,0.00255,0.00168
5.5,5,6,0.13025,0.00408,0.00103
7,6,8,0.11999,0.00532,0.00103
9,8,10,0.09434,0.00999,0.00103
15,10,20,0.07887,0.01262,0.00169
35,20,50,0.02942,0.04592,0.00103
